
Category,Item,Price,Notes
Popular,Parotta-Goat Salna,16.99,
Popular,Vaaval Meen (Pomfret Fish) Kulumbu,17.99,
Popular,Masala Omelette,8.99,
Popular,Half Tandoori Chicken,18.99,
Popular,Full Tandoori Chicken,29.99,
Soup,Rasam (Soup),5.99,"Tamarind and tomato based traditional soup"
Soup,Kozhi (Chicken) Milagu Rasam,8.99,"Traditional chicken soup made with chicken and house made spices"
Thaali,Regular Thali Meals [WEEKDAY ONLY],14.99,"Sambar + Rice + Chappathi + veg kuruma + Poriyal+ Kutu+ papad + Rasam + Curd + Pickle + Dessert"
Chaat,Masala Papad,5.99,
Chaat,Peanut Chaat,8.99,
Veg Starter,Samosa,7.99,"2 piece pastry filled with potato fillings. Served with mint or tamarind chutney."
Veg Starter,Mix Veg Pakkora,9.99,"Deep fried battered mix veg pakkora."
Veg Starter,Paneer 65,15.99,"Deep fried battered paneer served with onion and lemons."
Veg Starter,Paneer 555,15.99,"Deep fried Paneer tossed with house made spicy sauce and garnished with cashews."
Veg Starter,Chilli Paneer,15.99,"Deep Fried Paneer tossed with soy and chilli sauce. Garnished with spring onions."
Veg Starter,Paneer Manchurian,15.99,"Fried Paneer tossed with soy sauce, corn flour, onion, crushed garlic and ginger."
Veg Starter,Curry Leaf Paneer,15.99,"Fried Paneer cooked in curry leaf based spices."
Veg Starter,Nalla Karam Paneer,15.99,"Deep Fried Paneer cooked in spicy house special spices."
Veg Starter,Medhu Vada,8.99,"Daal fried fritters served with Sambar and coconut chutney."
Veg Starter,Sambar Vada,10.99,"Deep fried fritter soaked in sambar"
Veg Starter,Rasam Vada,9.99,"Deep fried fritter soaked in rasam"
Veg Starter,Thayir (Dahi) Vada,10.99,"Deep fried fritter soaked in yogurt"
Veg Starter,Mini Sambar Idli,8.99,"Idli served in Sambar"
Non-Veg Starter,Kalaki,7.99,"Egg beaten with house made sauce, cooked on the tava."
Non-Veg Starter,Masala Omelette,8.99,"Omelette made with onions, peppers, tomatos and Indian spices."
Non-Veg Starter,Half Boil,5.99,"Soft-boiled eggs with a runny yolk, seasoned with a touch of salt and pepper."
Non-Veg Starter,Egg Burji,9.99,"Scrambled eggs cooked with onions, tomatoes, and aromatic spices."
Non-Veg Starter,Madurai Chicken 65,16.99,"Deep fried battered chicken."
Non-Veg Starter,Chicken 555,16.99,"Deep Fried chicken tossed with house made spicy sauce. Garnished with cashews."
Non-Veg Starter,Chicken Manchurian,16.99,"Fried chicken tossed with soy sauce, corn flour, onion, crushed garlic and ginger"
Non-Veg Starter,Chilli Chicken,16.99,"Deep Fried chicken tossed with soy and chilli sauce."
Non-Veg Starter,Curry Leaf Chicken,16.99,"Fried chicken cooked in curry leaf based spices."
Non-Veg Starter,Chicken Chukka,16.99,
Non-Veg Starter,Nalla Karam Chicken Varuval,16.99,"Deep Fried Chicken cooked in spicy house special spices."
Non-Veg Starter,Chicken Lollipop,16.99,"Deep fried battered lollipop shaped Chicken wings"
Non-Veg Starter,Mutton Chukka,18.99,"Goat cubes cooked with house made spices and saute'd with Onion, curry leaves and cilantro."
Non-Veg Starter,Mutton Kola Urundai,15.99,"Feed fried Mutton balls made with ground goat meat and house made spices"
Non-Veg Starter,Mutton (Ghee) Roast,18.99,
Non-Veg Starter,Pomfret Tava Fish Fry,17.99,"Cut Pompano fish marinated overnight and pan fried."
Non-Veg Starter,Fish 65,15.99,"Deep Fried Battered Tilapia Fish"
Non-Veg Starter,Apollo Fish,17.99,"Crispy fried fish coated in a tangy, spicy sauce."
Veg Entree,Veg Kuruma,13.99,"Mixed Vegetable Curry"
Veg Entree,Paneer Butter Masala,15.99,"Panner cooked with onion tomato paste. Garnished with cream and dried fenugreek leaves."
Veg Entree,Kadai Vegetable,13.99,"Mixed vegetables stir-fried with bell peppers, tomatoes, and aromatic spices."
Veg Entree,Chettinad Veg Curry,13.99,"Mixed Veg curry made with chettinad based spices."
Veg Entree,Aloo Gobi Masala,13.99,"Potato and Cauliflower cooked in house made sauce."
Veg Entree,Channa Masala,12.99,
Veg Entree,Mutter Panner,15.99,"Tender paneer and peas in a flavorful, spiced tomato gravy."
Veg Entree,Navarathna Kuruma,13.99,
Veg Entree,Kadai Panner,14.99,"Panner cooked with onion tomato paste and house made spices."
Veg Entree,Saag (Palak) Paneer,15.99,"Paneer cooked with house made spinach sauce."
Veg Entree,Daal Tadka (Tomato/Spinach),12.99,"Lentils cooked with your choice of Tomato or Spinach."
Veg Entree,Sambar,12.99,"Authentic lentil based curry cooked with chef choice vegetables."
Veg Entree,Kara Kuzhambu,12.99,
Veg Entree,Paneer Tikka Masala,15.99,
Non veg entree,Andhra Chicken Curry,16.99,"Chicken cooked in spicy Andra based sauce."
Non veg entree,Andhra Egg Curry,15.99,
Non veg entree,Andhra Goat Curry,18.99,
Non veg entree,Butter Chicken,16.99,
Non veg entree,Chettinad Chicken Curry,16.99,"Chicken cooked with chettinad style masala."
Non veg entree,Chettinad Chicken Kheema,15.99,"Minced Chicken cooked with chettinad style masala."
Non veg entree,Chettinad Egg Curry,15.99,"Boiled Egg cooked with chettinad style masala."
Non veg entree,Chettinad Goat Curry,18.99,"Goat cooked with chettinad style masala."
Non veg entree,Chettinad Goat Kheema,18.99,"Minced Goat cooked with chettinad style masala."
Non veg entree,Chicken Tikka Masala,16.99,"Chicken cooked with onion tomato paste, bell peppers. Garnished with cream and dried fenugreek leaves."
Non veg entree,Kadai Chicken,16.99,"Chicken cooked with onion tomato paste and house made spices."
Non veg entree,Malabar Fish Curry,17.99,
Non veg entree,Saag Chicken,16.99,
Non veg entree,Vaaval Meen (Pomfret Fish) Kulumbu,17.99,"Fish cooked with chettinad style masala."
Tiffin Combo,Parotta-Veg Kuruma,13.99,
Tiffin Combo,Parotta-Chicken Salna,15.99,
Tiffin Combo,Parotta-Goat Salna,16.99,
Tiffin Combo,Parotta- Chicken Chukka-Chicken Salna,18.99,
Tiffin Combo,Parotta- Goat Chukka-Goat Salna,20.99,
Tiffin Combo,Thattu Idli Combo,9.99,
Tiffin Combo,MK Special Tiffin,16.99,"Idli, Vada, Ghee Pongal, Masala Dosa and Dessert"
